"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 04 08:25:02 GMT 2024","Thu Apr 04 08:25:09 GMT 2024","7041","firefox","example.spec.ts","","","","has title",""
"passed","Thu Apr 04 08:25:02 GMT 2024","Thu Apr 04 08:25:05 GMT 2024","3481","chromium","example.spec.ts","","","","has title",""
"passed","Thu Apr 04 08:25:02 GMT 2024","Thu Apr 04 08:25:06 GMT 2024","4100","chromium","example.spec.ts","","","","get started link",""
"passed","Thu Apr 04 08:25:02 GMT 2024","Thu Apr 04 08:25:09 GMT 2024","7459","firefox","example.spec.ts","","","","get started link",""
"failed","Thu Apr 04 08:25:02 GMT 2024","Thu Apr 04 08:25:05 GMT 2024","2936","webkit","example.spec.ts","","","","get started link",""
"failed","Thu Apr 04 08:25:02 GMT 2024","Thu Apr 04 08:25:05 GMT 2024","3093","webkit","example.spec.ts","","","","has title",""
